lead,region,bin_center,raw_mean_forecast,raw_obs_freq,raw_bin_weight,cal_mean_forecast,cal_obs_freq,cal_bin_weight
week3,texas,0.05,0.003115747736506813,0.17299347134586743,118225.87794202364,nan,nan,0.0
week3,texas,0.15000000000000002,0.13333334028720858,0.25151799000940306,4682.823645489301,0.17334432255912122,0.1741908746007546,116286.68499734052
week3,texas,0.25,0.20376782805731408,0.26524136611942417,58416.09472372629,0.2621536707713421,0.26584852260585334,64450.97341819498
week3,texas,0.35000000000000003,0.33333334326744085,0.30412630588413214,3074.8257298276835,0.3356986116336573,0.35888374591562194,58100.188627432784
week3,texas,0.45,0.40371908496243614,0.32193119356361866,41296.19933667455,0.4197687670077101,0.3759734583929461,19909.300230014618
week3,texas,0.55,0.5333333611488341,0.34855967332244225,1972.0293183472168,0.5188816095492069,0.5437249174796285,20107.90342982515
week3,texas,0.6500000000000001,0.6037180064208636,0.4056985168843124,28490.01039567482,0.624888568895143,0.5051222501835458,8106.09336635398
week3,texas,0.75,0.733333349227905,0.5506824290941429,1326.9884813119074,nan,nan,0.0
week3,texas,0.8500000000000001,0.802885296537543,0.5247622618231045,19107.03059229914,nan,nan,0.0
week3,texas,0.95,0.9953015274693244,0.6169499134955475,10369.263903787494,nan,nan,0.0
