lead,region,bin_center,raw_mean_forecast,raw_obs_freq,raw_bin_weight,cal_mean_forecast,cal_obs_freq,cal_bin_weight
week4,texas,0.05,0.003466526353160645,0.17759985341925638,104801.28482259123,nan,nan,0.0
week4,texas,0.15000000000000002,0.13333334028720856,0.23917421863613605,4560.586662958593,0.17738028391525062,0.1783008657997743,100542.73944080342
week4,texas,0.25,0.20368119083327785,0.2833159290214157,63330.8510988186,0.27300305641912037,0.26947931681251514,68652.9923199463
week4,texas,0.35000000000000003,0.3333333432674408,0.3614118086434653,3287.0118472787044,0.3416191984620416,0.3785677271244878,82930.42067499441
week4,texas,0.45,0.40373274277613413,0.3168668796316332,50222.45253017547,0.4404111977421299,0.3635479589986837,29303.97598322171
week4,texas,0.55,0.5333333611488342,0.3518563413469162,2599.9677713747546,0.5748348368716727,0.4818801056213105,5531.015650196208
week4,texas,0.6500000000000001,0.6030568083714903,0.397844243763763,33383.91554415932,nan,nan,0.0
week4,texas,0.75,0.7333333492279053,0.4576415000262239,1122.7455423808212,nan,nan,0.0
week4,texas,0.8500000000000001,0.802426233803241,0.4629939786961273,17113.48235479074,nan,nan,0.0
week4,texas,0.95,0.9962118041879701,0.5749203640806457,6538.845894633818,nan,nan,0.0
