lead,region,bin_center,raw_mean_forecast,raw_obs_freq,raw_bin_weight,cal_mean_forecast,cal_obs_freq,cal_bin_weight
week4,conus,0.05,0.0033844361364370797,0.19802336928601547,868435.4556598975,nan,nan,0.0
week4,conus,0.15000000000000002,0.13333334028720856,0.2663948373934191,40802.18795670277,0.19665914853294386,0.2031607880332591,769505.6190168221
week4,conus,0.25,0.20415018706639865,0.2946201489226722,601691.69129768,0.2800829070391217,0.2723395527062803,703966.7528071
week4,conus,0.35000000000000003,0.3333333432674408,0.34176403123339055,35647.85942214018,0.3555866896110375,0.37248180214945303,725201.4146831312
week4,conus,0.45,0.4040388459366269,0.3443306891483065,472902.6242963185,0.4291078215764763,0.3881792000630549,290999.6893169706
week4,conus,0.55,0.5333333611488342,0.38885043487178833,23091.680720015596,0.5578785119856252,0.5616792547631432,67285.20022498984
week4,conus,0.6500000000000001,0.6028698440878105,0.40252897702707513,299700.95611444826,nan,nan,0.0
week4,conus,0.75,0.7333333492279054,0.512863153953473,9452.903903903181,nan,nan,0.0
week4,conus,0.8500000000000001,0.8024279699046221,0.4503020427246383,143161.9860692619,nan,nan,0.0
week4,conus,0.95,0.9958406496017768,0.5617434010529917,62071.33060864587,nan,nan,0.0
