lead,region,bin_center,raw_mean_forecast,raw_obs_freq,raw_bin_weight,cal_mean_forecast,cal_obs_freq,cal_bin_weight
week3,conus,0.05,0.003364432060822901,0.18816083791184432,935455.008630344,nan,nan,0.0
week3,conus,0.15000000000000002,0.13333334028720858,0.26573790025635025,40210.897659442584,0.18536544522420328,0.18506473807072846,888245.8887550931
week3,conus,0.25,0.20393574025009895,0.28851711627550014,550221.4310344609,0.2833728449927635,0.2848580278393457,613347.8541593789
week3,conus,0.35000000000000003,0.3333333432674408,0.31714830377003395,29081.71662319753,0.3494312065623297,0.3534673417444729,517630.5255970917
week3,conus,0.45,0.40351088589471173,0.35032993484706193,420009.9202152237,0.4366064206450071,0.43030071910914,430558.18190638983
week3,conus,0.55,0.5333333611488342,0.374880114928041,19092.780438831873,0.5836989026571705,0.6369936514582194,81632.26853667268
week3,conus,0.6500000000000001,0.6033675866152608,0.4061984915560714,283261.22055698384,0.6026167008430984,0.4433632099411756,25543.957094387755
week3,conus,0.75,0.7333333492279054,0.4608828631681141,12451.112325905084,nan,nan,0.0
week3,conus,0.8500000000000001,0.8031677737583628,0.4862999537475749,167980.18153709386,nan,nan,0.0
week3,conus,0.95,0.9956155236208231,0.5968013414880236,99194.40702752983,nan,nan,0.0
