lead,region,bin_center,raw_mean_forecast,raw_obs_freq,raw_bin_weight,cal_mean_forecast,cal_obs_freq,cal_bin_weight
week4,southern_plains,0.05,0.0032577875732170696,0.1902358870570378,170002.84307560496,nan,nan,0.0
week4,southern_plains,0.15000000000000002,0.13333334028720853,0.2573971522446726,6606.429091444616,0.18937736844007202,0.1884744452005571,161695.34626512552
week4,southern_plains,0.25,0.20356586903325954,0.28626938258804263,91645.57193272305,0.27595516214250865,0.27569449879621183,101657.56113015959
week4,southern_plains,0.35000000000000003,0.33333334326744074,0.37416958567765757,4550.834844733627,0.3437270638838919,0.3749695692935518,107089.35525506358
week4,southern_plains,0.45,0.4035768849912387,0.32318161919429444,71087.63304485744,0.4361664613268975,0.38014695250697395,53412.859222605985
week4,southern_plains,0.55,0.5333333611488343,0.36893276531944297,3530.5080653441064,0.5703970070216301,0.5696647590203193,12482.43344978588
week4,southern_plains,0.6500000000000001,0.6032675435569995,0.40240072715891695,48428.045110236424,nan,nan,0.0
week4,southern_plains,0.75,0.7333333492279054,0.4550661219428107,1830.1168280002184,nan,nan,0.0
week4,southern_plains,0.8500000000000001,0.8029073741402033,0.4687744463658681,26251.34390609605,nan,nan,0.0
week4,southern_plains,0.95,0.9957836843661588,0.5796760884387143,12404.229423700059,nan,nan,0.0
