lead,region,bin_center,raw_mean_forecast,raw_obs_freq,raw_bin_weight,cal_mean_forecast,cal_obs_freq,cal_bin_weight
week3,southern_plains,0.05,0.0029760140997073764,0.1821329489528106,189290.46798304204,nan,nan,0.0
week3,southern_plains,0.15000000000000002,0.13333334028720856,0.25002270783482555,6625.415589999047,0.1817677820038915,0.1824301283934271,181870.1615321279
week3,southern_plains,0.25,0.20368240142121963,0.26983584651396453,84601.2892818325,0.26275002896921323,0.2631933778670981,95757.55001529449
week3,southern_plains,0.35000000000000003,0.3333333432674408,0.3229530816445317,4171.249776312136,0.3400040630248149,0.3457794419025908,71907.84435924134
week3,southern_plains,0.45,0.40366370632205634,0.3393830234913634,59733.689776298634,0.4222048047966605,0.44016382421538497,42476.088624174175
week3,southern_plains,0.55,0.5333333611488341,0.36527569377345154,2772.174211217431,0.5225569429764361,0.5272380720684104,30026.10361900951
week3,southern_plains,0.6500000000000001,0.6035043025273183,0.4171855456015204,40843.2630921973,0.6202961726535108,0.5423315952786674,14299.807172893114
week3,southern_plains,0.75,0.7333333492279054,0.5067870103437377,1928.8426193944324,nan,nan,0.0
week3,southern_plains,0.8500000000000001,0.8032642063567834,0.5194648183567082,28124.911819755525,nan,nan,0.0
week3,southern_plains,0.95,0.9950487658893955,0.6197562620590689,18246.25117269152,nan,nan,0.0
