lead,region,bin_center,raw_mean_forecast,raw_obs_freq,raw_bin_weight,cal_mean_forecast,cal_obs_freq,cal_bin_weight
week4,global,0.05,0.002861483273424823,0.1802957761732367,31109616.250138063,nan,nan,0.0
week4,global,0.15000000000000002,0.13333334028720856,0.2675973070123996,1224156.9928148768,0.17850877640270763,0.17815765981265008,29774321.621642683
week4,global,0.25,0.2044072953054341,0.3114565364947252,18686267.456848927,0.24707360438934056,0.24692401099702188,2559451.621310363
week4,global,0.35000000000000003,0.3333333432674411,0.34988836325460715,1175991.4242251022,0.33810524311510937,0.33813890809269054,35327901.60619639
week4,global,0.45,0.40401266944219216,0.36948430266627075,15465642.72512213,0.4327540230549799,0.43728750914263564,11610816.684637358
week4,global,0.55,0.5333333611488346,0.4208705984409481,774279.1215074451,0.5077630052673071,0.5027300711378974,5949470.2630432295
week4,global,0.6500000000000001,0.603186213331297,0.43173618939960673,10461653.629888305,0.6519465875595927,0.6528589407807011,3883869.014520454
week4,global,0.75,0.7333333492279053,0.5268492426743058,393691.75129987363,nan,nan,0.0
week4,global,0.8500000000000001,0.8026554613546102,0.5092138957359129,6058331.993562357,nan,nan,0.0
week4,global,0.95,0.9964350204854194,0.6572900405601091,3756199.465943066,nan,nan,0.0
