lead,region,bin_center,raw_mean_forecast,raw_obs_freq,raw_bin_weight,raw_hist_frac,cal_mean_forecast,cal_obs_freq,cal_bin_weight,cal_hist_frac
week4,global,0.1,0.007801149143190754,0.1836010130429701,32333773.242953014,0.3628693313169172,0.17850877640270763,0.17815765981265008,29774321.621642683,0.33414560361015117
week4,global,0.30000000000000004,0.21204066307444544,0.3137319825533776,19862258.881074082,0.22290638783364605,0.3319556693001179,0.3319769543965,37887353.22750666,0.4251949943401519
week4,global,0.5,0.41017835869322194,0.3719342735667268,16239921.846629605,0.1822543115165139,0.4581672586395114,0.4594596170181053,17560286.9476806,0.197072254282194
week4,global,0.7000000000000001,0.6079062707830508,0.43518566274203224,10855345.381188128,0.12182530909981015,0.6519465875595927,0.6528589407807011,3883869.014520454,0.04358714776750303
week4,global,0.9,0.8768184185493609,0.5658853260943012,9814531.459505407,0.11014466023311283,nan,nan,0.0,0.0
